id, long, lat, euc, mah, cit, min, che, cos
1, -76.01829999999999643, 40.63880000000000337, 4.18720200964197353, 270.97132040844030598, 5.74160064027939399, 3.83403324199323770, 3.59525587892898812, 0.99883026576697709
2, -76.01829999999999643, 40.63880000000000337, 4.18720200964197353, 270.97132040844030598, 5.74160064027939399, 3.83403324199323770, 3.59525587892898812, 0.99883026576697709
3, -76.01829999999999643, 40.63900000000000290, 4.18737373683092073, 270.97009495396468992, 5.74180064027939352, 3.83420910807839910, 3.59545587892898766, 0.99883016682458359
4, -76.45199999999999818, 41.77080000000000126, 5.02793200266766149, 265.16588785421083685, 6.43990064027939013, 4.80102972028098840, 4.72725587892898602, 0.99834819539943287
5, -76.44360000000000355, 41.77040000000000219, 5.03042359754496005, 265.14656900889269764, 6.44790064027938570, 4.80171602452601132, 4.72685587892898695, 0.99834576970847733
6, -76.43779999999999575, 41.76780000000000115, 5.02996883085754565, 265.14744022810924662, 6.45110064027939245, 4.79994481658327476, 4.72425587892898591, 0.99834543996558334
7, -76.43750000000000000, 41.77000000000000313, 5.03213813424497847, 265.13320959955530043, 6.45360064027939018, 4.80211482837284009, 4.72645587892898789, 0.99834407028774164
8, -76.43580000000000041, 41.77109999999999701, 5.03375494012617786, 265.12207816517070569, 6.45640064027938365, 4.80340046814453014, 4.72755587892898177, 0.99834289423163758
9, -76.43569999999999709, 41.77120000000000033, 5.03388320259546784, 265.12120754782284848, 6.45660064027939029, 4.80351028972315497, 4.72765587892898509, 0.99834280457669022
10, -76.43609999999999616, 41.77210000000000178, 5.03459111469301046, 265.11674037274019611, 6.45710064027939268, 4.80433030662791172, 4.72855587892898654, 0.99834240951868358
11, -76.43609999999999616, 41.77210000000000178, 5.03459111469301046, 265.11674037274019611, 6.45710064027939268, 4.80433030662791172, 4.72855587892898654, 0.99834240951868358
12, -76.43739999999999668, 41.77089999999999748, 5.03301778972187108, 265.12744688240451296, 6.45460064027938785, 4.80299963168286492, 4.72735587892898224, 0.99834351700764323
13, -76.43789999999999907, 41.77289999999999992, 5.03472486839263222, 265.11651219682863712, 6.45610064027938790, 4.80487257621724506, 4.72935587892898468, 0.99834251602113411
14, -76.43630000000000280, 41.77609999999999957, 5.03827954378006471, 265.09279825685422338, 6.46090064027938382, 4.80817943223363553, 4.73255587892898433, 0.99834015296893630
15, -76.66119999999999379, 41.45380000000000109, 4.65947454849360376, 267.64702557421861684, 5.91370064027939435, 4.46774226348931869, 4.41025587892898585, 0.99858829533795179
16, -76.66580000000000439, 41.45230000000000103, 4.65657213179592233, 267.66812326451901072, 5.90760064027938370, 4.46576092414527359, 4.40875587892898579, 0.99859043217039700
17, -76.66580000000000439, 41.45230000000000103, 4.65657213179592233, 267.66812326451901072, 5.90760064027938370, 4.46576092414527359, 4.40875587892898579, 0.99859043217039700
18, -76.68649999999999523, 41.47749999999999915, 4.67385030481256969, 267.56757141971269220, 5.91210064027939097, 4.48805113732808891, 4.43395587892898391, 0.99858292078260225
19, -76.69259999999999877, 41.47259999999999991, 4.66727455353706056, 267.61335852688540626, 5.90110064027938819, 4.48260827836568332, 4.42905587892898467, 0.99858731943806078
20, -76.68779999999999575, 41.46609999999999729, 4.66262489927910018, 267.64069164445106708, 5.89940064027938860, 4.47678372343007780, 4.42255587892898205, 0.99858941184879324
21, -76.68800000000000239, 41.46670000000000300, 4.66313067375638202, 267.63753870814065294, 5.89980064027938766, 4.47734752166034600, 4.42315587892898776, 0.99858914833358381
22, -76.68760000000000332, 41.46640000000000015, 4.66297280206622489, 267.63833781580450477, 5.89990064027938388, 4.47709826572130343, 4.42285587892898491, 0.99858919318470374
23, -76.68750000000000000, 41.46600000000000108, 4.66262508111669671, 267.64052614749272152, 5.89960064027938813, 4.47671878744049323, 4.42245587892898584, 0.99858937851840812
24, -76.68760000000000332, 41.46640000000000015, 4.66297280206622489, 267.63833781580450477, 5.89990064027938388, 4.47709826572130343, 4.42285587892898491, 0.99858919318470374
25, -76.70510000000000161, 41.44650000000000034, 4.63856566000533288, 267.80544682737593121, 5.86250064027938578, 4.45578120895315877, 4.40295587892898510, 0.99860487998905689
26, -76.71800000000000352, 41.44330000000000069, 4.63148279276871833, 267.85845382819314864, 5.84640064027938422, 4.45128243137707980, 4.39975587892898545, 0.99861029325735762
27, -76.72020000000000550, 41.44319999999999737, 4.63070108316083839, 267.86476638068256761, 5.84410064027937892, 4.45095269617953715, 4.39965587892898213, 0.99861097831980772
28, -76.71869999999999834, 41.44350000000000023, 4.63145419813241954, 267.85904389675584980, 5.84590064027938894, 4.45140393399776713, 4.39995587892898499, 0.99861038798622559
